strain_name,thc_percent,cbd_percent,cbn_percent,myrcene,limonene,caryophyllene,linalool,pinene,humulene,terpinolene,ocimene,primary_effects,medical_uses,strain_type,data_quality,sample_count,data_source
Afghan Kush,15.0,0.1,0.3,0.55,0.1,0.22,0.08,0.03,0.02,0.0,0.0,"Sedation,Relaxation,Happiness","Insomnia,Pain,Stress,Anxiety",Indica,Manual-Only - Curated from research sources,1,Manual: Terpene Parser
Amnesia Haze,20.0,0.1,0.0,0.28,0.32,0.12,0.11,0.12,0.03,0.02,0.0,"Energy,Euphoria,Creativity","Depression,Stress,Fatigue,Pain",Sativa,Manual-Only - Curated from research sources,1,Manual: Strain Data Project
Candyland,19.0,0.1,0.0,0.22,0.38,0.15,0.05,0.12,0.05,0.03,0.0,"Energy,Euphoria,Creativity","Depression,Fatigue,Stress,Pain",Sativa,Manual-Only - Curated from research sources,1,Manual: Strain Data Project
Chemdawg,19.0,0.1,0.0,0.4,0.25,0.2,0.05,0.08,0.02,0.0,0.0,"Relaxation,Euphoria,Creativity","Pain,Stress,Depression,Anxiety",Hybrid,Manual-Only - Curated from research sources,1,Manual: Mendeley Dataset
Do-Si-Dos,19.0,0.1,0.2,0.42,0.18,0.25,0.08,0.05,0.02,0.0,0.0,"Relaxation,Sedation,Euphoria","Insomnia,Pain,Stress,Appetite",Indica,Manual-Only - Curated from research sources,1,Manual: Mendeley Dataset
Gelato,18.0,0.1,0.1,0.38,0.22,0.22,0.1,0.06,0.02,0.0,0.0,"Relaxation,Euphoria,Creativity","Pain,Stress,Insomnia,Anxiety",Hybrid,Manual-Only - Curated from research sources,1,Manual: Strain Data Project
God's Gift,18.0,0.1,0.3,0.52,0.1,0.22,0.1,0.04,0.02,0.0,0.0,"Sedation,Relaxation,Euphoria","Insomnia,Pain,Stress,Appetite",Indica,Manual-Only - Curated from research sources,1,Manual: Mendeley Dataset
Purple Haze,16.0,0.1,0.0,0.3,0.28,0.12,0.08,0.15,0.05,0.02,0.0,"Energy,Euphoria,Creativity","Depression,Stress,Fatigue,Pain",Sativa,Manual-Only - Curated from research sources,1,Manual: Terpene Parser
Purple Punch,18.0,0.1,0.3,0.54,0.08,0.2,0.12,0.04,0.02,0.0,0.0,"Sedation,Relaxation,Euphoria","Insomnia,Pain,Stress,Anxiety",Indica,Manual-Only - Curated from research sources,1,Manual: Strain Data Project
Runtz,19.0,0.1,0.1,0.4,0.28,0.18,0.08,0.04,0.02,0.0,0.0,"Relaxation,Euphoria,Creativity","Stress,Pain,Anxiety,Insomnia",Hybrid,Manual-Only - Curated from research sources,1,Manual: Strain Data Project
Wedding Cake,19.0,0.1,0.1,0.4,0.2,0.24,0.09,0.05,0.02,0.0,0.0,"Relaxation,Euphoria,Happiness","Pain,Stress,Insomnia,Anxiety",Hybrid,Manual-Only - Curated from research sources,1,Manual: Strain Data Project
Zkittlez,15.0,0.1,0.1,0.45,0.2,0.18,0.1,0.05,0.02,0.0,0.0,"Relaxation,Euphoria,Happiness","Stress,Pain,Insomnia,Anxiety",Indica,Manual-Only - Curated from research sources,1,Manual: Strain Data Project
